tce_plnt_num,tce_period,tce_ror,tce_dor,tce_incl,tce_prad,tce_steff,tce_sradius
2,0.83185,0.0027,1.0220117,25.04,0.5099,6510,1.7280000000000002
2,1.09524,0.0054399999999999995,3.8340026,86.17,0.8916,6328,1.5019999999999998
2,0.7192729999999999,0.00536,2.6067476000000003,74.42,1.455,6363,2.489
3,0.831833,0.00481,2.9148341,88.13,0.9062,6510,1.7280000000000002
1,622.408,0.0117,400.63642000000004,90.0,2.114,6609,1.6540000000000001
1,8.88492,0.115,36.377831,89.91,10.57,5332,0.843
1,2.26211,0.00505,2.2076606,82.19,0.9107,6609,1.6540000000000001
1,5.0926,0.0142,11.088219,88.45,1.16,5037,0.7509999999999999
1,8.46044,0.418,13.746619,85.9,32.09,5923,0.7040000000000001
2,4.23022,0.268,5.476444,79.49,20.58,5923,0.7040000000000001
2,2.69191,0.00591,3.6620146,86.79,1.043,7003,1.617
1,1.34629,0.00773,1.0185041,12.39,1.364,7003,1.617
1,0.614378,0.0105,3.1369554,84.7,1.554,5930,1.3530000000000002
1,21.7613,0.0316,127.79401000000001,89.86,2.492,4859,0.723
1,0.9404629999999999,0.00433,1.5172945,62.01,0.8113,5918,1.7180000000000002
2,0.9404629999999999,0.0114,1.0154816999999998,28.19,2.13,5918,1.7180000000000002
3,0.94052,0.00815,2.2608908,87.46,1.528,5918,1.7180000000000002
2,0.778568,0.00905,1.9286601000000003,62.14,4.258,7090,4.311
1,0.778574,0.009590000000000001,3.1773446,77.27,4.513,7090,4.311
1,4.28758,0.0295,22.046943,88.16,2.616,5295,0.812
3,1.28453,0.0085,1.0195264000000002,26.75,3.9960000000000004,7090,4.311
1,1.07861,0.00486,2.0751553,76.06,1.32,6363,2.489
1,0.831777,0.00518,1.3415808,49.33,0.9762,6510,1.7280000000000002
1,0.5476260000000001,0.0035299999999999997,2.7147139,81.19,0.5786,6328,1.5019999999999998
2,0.748347,0.0161,1.5510635,65.47,3.445,7159,1.96
1,1.39175,0.00446,2.7668711,79.43,0.8991,6793,1.848
1,1.1262,0.141,5.3861537,84.59,10.37,4298,0.675
