loc_rowid,tce_plnt_num,tce_period,tce_period_err,tce_ror,tce_ror_err,tce_dor,tce_dor_err,tce_incl,tce_incl_err,tce_duration,tce_duration_err,tce_prad,tce_prad_err,tce_eqt,tce_eqt_err,tce_steff,tce_steff_err,tce_slogg,tce_slogg_err,tce_sradius,tce_sradius_err
1,2,0.83185,6.69E-05,2.70E-03,4.21E-03,1.0220117,4.03E-01,25.04,2.43E+02,2.392,2.10E+01,0.5099,7.94E-01,2.76E+03,6.37E+02,6510,207,4.07,0.26,1.728,0.791
2,2,1.09524,1.01E-05,5.44E-03,3.88E-03,3.8340026,1.30E+01,86.17,2.12E+02,2.122,4.76E-01,0.8916,6.36E-01,2.31E+03,6.61E+02,6328,207,4.15,0.29,1.502,0.852
3,2,0.719273,1.39E-05,5.36E-03,1.58E-03,2.6067476,3.34E+00,74.42,4.56E+01,1.521,3.18E-01,1.455,4.30E-01,3.33E+03,7.03E+02,6363,214,3.8,0.35,2.489,1.036
4,3,0.831833,9.43E-06,4.81E-03,4.50E-03,2.9148341,1.28E+01,88.13,1.03E+03,2.181,1.21E+00,0.9062,8.49E-01,2.76E+03,6.37E+02,6510,207,4.07,0.26,1.728,0.791
5,1,622.408,8.55E-03,1.17E-02,1.44E-02,400.63642,2.79E+03,90,3.14E+02,12.01,1.84E+00,2.114,2.60E+00,3.02E+02,7.50E+01,6609,200,4.11,0.28,1.654,0.816
6,1,8.88492,1.19E-06,1.15E-01,1.67E-03,36.377831,1.94E+00,89.91,1.50E+00,2.078,2.40E-02,10.57,1.54E-01,7.70E+02,2.76E+01,5332,102,4.5,0.04,0.843,0.051
7,1,2.26211,2.73E-05,5.05E-03,3.23E-03,2.2076606,6.10E+00,82.19,3.00E+02,7.509,5.20E+00,0.9107,5.84E-01,1.96E+03,4.86E+02,6609,236,4.11,0.28,1.654,0.811
8,1,5.0926,3.14E-05,1.42E-02,2.11E-02,11.088219,5.74E+01,88.45,9.12E+01,3.399,2.43E-01,1.16,1.73E+00,8.44E+02,7.86E+01,5037,197,4.55,0.12,0.751,0.127
9,1,8.46044,3.82E-07,4.18E-01,2.67E-02,13.746619,2.63E-02,85.9,1.44E-01,4.804,2.01E-03,32.09,2.05E+00,8.01E+02,1.04E+02,5923,191,4.64,0.18,0.704,0.178
10,2,4.23022,7.33E-07,2.68E-01,2.74E-02,5.476444,3.34E-02,79.49,4.73E-01,4.606,6.93E-03,20.58,2.11E+00,1.01E+03,1.32E+02,5923,191,4.64,0.18,0.704,0.178
11,2,2.69191,2.13E-05,5.91E-03,3.66E-03,3.6620146,1.20E+01,86.79,2.71E+02,5.53,1.30E+00,1.043,6.46E-01,1.92E+03,5.46E+02,7003,299,4.15,0.32,1.617,0.909
12,1,1.34629,2.25E-05,7.73E-03,2.80E-03,1.0185041,5.26E-03,12.39,3.06E+00,1.626,2.71E-01,1.364,4.93E-01,2.42E+03,6.88E+02,7003,299,4.15,0.32,1.617,0.909
13,1,0.614378,9.73E-06,1.05E-02,4.54E-03,3.1369554,5.80E+00,84.7,1.30E+02,1.448,2.51E-01,1.554,6.71E-01,2.60E+03,5.47E+02,5930,170,4.14,0.26,1.353,0.565
